Extra Packages for Enterprise Linux 9 - x86_64  184 kB/s |  15 kB     00:00    
Extra Packages for Enterprise Linux 9 - x86_64   12 MB/s |  19 MB     00:01    
Extra Packages for Enterprise Linux 9 - Next -   13 kB/s |  14 kB     00:01    
Extra Packages for Enterprise Linux 9 - Next -  331 kB/s | 414 kB     00:01    

NetworkManager.x86_64                            1:1.53.4-1.el9             baseos   
NetworkManager-adsl.x86_64                       1:1.53.4-1.el9             baseos   
NetworkManager-bluetooth.x86_64                  1:1.53.4-1.el9             baseos   
NetworkManager-config-server.noarch              1:1.53.4-1.el9             baseos   
NetworkManager-libnm.x86_64                      1:1.53.4-1.el9             baseos   
NetworkManager-team.x86_64                       1:1.53.4-1.el9             baseos   
NetworkManager-tui.x86_64                        1:1.53.4-1.el9             baseos   
NetworkManager-wifi.x86_64                       1:1.53.4-1.el9             baseos   
NetworkManager-wwan.x86_64                       1:1.53.4-1.el9             baseos   
audit.x86_64                                     3.1.5-7.el9                baseos   
audit-libs.x86_64                                3.1.5-7.el9                baseos   
avahi.x86_64                                     0.8-22.el9                 baseos   
avahi-glib.x86_64                                0.8-22.el9                 appstream
avahi-libs.x86_64                                0.8-22.el9                 baseos   
avahi-tools.x86_64                               0.8-22.el9                 appstream
bind-libs.x86_64                                 32:9.16.23-28.el9          appstream
bind-license.noarch                              32:9.16.23-28.el9          appstream
bind-utils.x86_64                                32:9.16.23-28.el9          appstream
bluez.x86_64                                     5.72-4.el9                 baseos   
bluez-libs.x86_64                                5.72-4.el9                 baseos   
bluez-obexd.x86_64                               5.72-4.el9                 appstream
boost-iostreams.x86_64                           1.75.0-11.el9              appstream
boost-system.x86_64                              1.75.0-11.el9              appstream
boost-thread.x86_64                              1.75.0-11.el9              appstream
buildah.x86_64                                   2:1.39.4-1.el9             appstream
centos-backgrounds.noarch                        90.8-3.el9                 appstream
centos-gpg-keys.noarch                           9.0-28.el9                 baseos   
centos-logos.x86_64                              90.8-3.el9                 appstream
centos-stream-release.noarch                     9.0-28.el9                 baseos   
centos-stream-repos.noarch                       9.0-28.el9                 baseos   
cockpit.x86_64                                   337-1.el9                  baseos   
cockpit-bridge.noarch                            337-1.el9                  baseos   
cockpit-packagekit.noarch                        337-1.el9                  appstream
cockpit-podman.noarch                            105-1.el9                  appstream
cockpit-storaged.noarch                          337-1.el9                  appstream
cockpit-system.noarch                            337-1.el9                  baseos   
cockpit-ws.x86_64                                337-1.el9                  baseos   
container-selinux.noarch                         4:2.237.0-1.el9            appstream
containernetworking-plugins.x86_64               1:1.7.1-1.el9              appstream
criu.x86_64                                      3.19-3.el9                 appstream
criu-libs.x86_64                                 3.19-3.el9                 appstream
cronie.x86_64                                    1.5.7-14.el9               baseos   
cronie-anacron.x86_64                            1.5.7-14.el9               baseos   
crun.x86_64                                      1.21-1.el9                 appstream
dnf.noarch                                       4.14.0-29.el9              baseos   
dnf-data.noarch                                  4.14.0-29.el9              baseos   
dnf-plugins-core.noarch                          4.3.0-21.el9               baseos   
elfutils-debuginfod-client.x86_64                0.193-1.el9                baseos   
elfutils-default-yama-scope.noarch               0.193-1.el9                baseos   
elfutils-libelf.x86_64                           0.193-1.el9                baseos   
elfutils-libs.x86_64                             0.193-1.el9                baseos   
emacs-filesystem.noarch                          1:27.2-15.el9              appstream
expat.x86_64                                     2.5.0-5.el9                baseos   
firefox.x86_64                                   128.10.0-1.el9             appstream
fuse-overlayfs.x86_64                            1.15-1.el9                 appstream
gdm.x86_64                                       1:40.1-29.el9              appstream
ghostscript.x86_64                               9.54.0-19.el9              appstream
ghostscript-tools-fonts.x86_64                   9.54.0-19.el9              appstream
ghostscript-tools-printing.x86_64                9.54.0-19.el9              appstream
git.x86_64                                       2.47.1-2.el9               appstream
git-core.x86_64                                  2.47.1-2.el9               appstream
git-core-doc.noarch                              2.47.1-2.el9               appstream
glibc.x86_64                                     2.34-192.el9               baseos   
glibc-all-langpacks.x86_64                       2.34-192.el9               baseos   
glibc-common.x86_64                              2.34-192.el9               baseos   
glibc-devel.x86_64                               2.34-192.el9               appstream
glibc-gconv-extra.x86_64                         2.34-192.el9               baseos   
glibc-headers.x86_64                             2.34-192.el9               appstream
glibc-langpack-ko.x86_64                         2.34-192.el9               baseos   
gnome-classic-session.noarch                     40.7-26.el9                appstream
gnome-control-center.x86_64                      40.0-41.el9                appstream
gnome-control-center-filesystem.noarch           40.0-41.el9                appstream
gnome-session.x86_64                             40.1.1-10.el9              appstream
gnome-session-wayland-session.x86_64             40.1.1-10.el9              appstream
gnome-session-xsession.x86_64                    40.1.1-10.el9              appstream
gnome-shell.x86_64                               40.10-25.el9               appstream
gnome-shell-extension-apps-menu.noarch           40.7-26.el9                appstream
gnome-shell-extension-common.noarch              40.7-26.el9                appstream
gnome-shell-extension-desktop-icons.noarch       40.7-26.el9                appstream
gnome-shell-extension-launch-new-instance.noarch 40.7-26.el9                appstream
gnome-shell-extension-places-menu.noarch         40.7-26.el9                appstream
gnome-shell-extension-user-theme.noarch          40.7-26.el9                appstream
gnome-shell-extension-window-list.noarch         40.7-26.el9                appstream
grub2-common.noarch                              1:2.06-107.el9             baseos   
grub2-pc.x86_64                                  1:2.06-107.el9             baseos   
grub2-pc-modules.noarch                          1:2.06-107.el9             baseos   
grub2-tools.x86_64                               1:2.06-107.el9             baseos   
grub2-tools-minimal.x86_64                       1:2.06-107.el9             baseos   
iwl100-firmware.noarch                           39.31.5.1-152.el9          baseos   
iwl1000-firmware.noarch                          1:39.31.5.1-152.el9        baseos   
iwl105-firmware.noarch                           18.168.6.1-152.el9         baseos   
iwl135-firmware.noarch                           18.168.6.1-152.el9         baseos   
iwl2000-firmware.noarch                          18.168.6.1-152.el9         baseos   
iwl2030-firmware.noarch                          18.168.6.1-152.el9         baseos   
iwl3160-firmware.noarch                          1:25.30.13.0-152.el9       baseos   
iwl5000-firmware.noarch                          8.83.5.1_1-152.el9         baseos   
iwl5150-firmware.noarch                          8.24.2.2-152.el9           baseos   
iwl6000g2a-firmware.noarch                       18.168.6.1-152.el9         baseos   
iwl6000g2b-firmware.noarch                       18.168.6.1-152.el9         baseos   
iwl6050-firmware.noarch                          41.28.5.1-152.el9          baseos   
iwl7260-firmware.noarch                          1:25.30.13.0-152.el9       baseos   
kernel.x86_64                                    5.14.0-585.el9             baseos   
kernel-core.x86_64                               5.14.0-585.el9             baseos   
kernel-headers.x86_64                            5.14.0-585.el9             appstream
kernel-modules.x86_64                            5.14.0-585.el9             baseos   
kernel-modules-core.x86_64                       5.14.0-585.el9             baseos   
kernel-tools.x86_64                              5.14.0-585.el9             baseos   
kernel-tools-libs.x86_64                         5.14.0-585.el9             baseos   
kexec-tools.x86_64                               2.0.29-7.el9               baseos   
kmod-kvdo.x86_64                                 8.2.5.10-165.el9           baseos   
kpatch.noarch                                    0.9.7-3.el9                baseos   
kpatch-dnf.noarch                                0.9.7_0.5-3.el9            baseos   
libdb.x86_64                                     5.3.28-57.el9              baseos   
libdnf.x86_64                                    0.69.0-14.el9              baseos   
libertas-sd8787-firmware.noarch                  20250513-152.el9           baseos   
libgs.x86_64                                     9.54.0-19.el9              appstream
libipa_hbac.x86_64                               2.9.6-4.el9.2              baseos   
libnvme.x86_64                                   1.13-1.el9                 baseos   
libsss_certmap.x86_64                            2.9.6-4.el9.2              baseos   
libsss_idmap.x86_64                              2.9.6-4.el9.2              baseos   
libsss_nss_idmap.x86_64                          2.9.6-4.el9.2              baseos   
libsss_sudo.x86_64                               2.9.6-4.el9.2              baseos   
libxslt.x86_64                                   1.1.34-12.el9              appstream
linux-firmware.noarch                            20250513-152.el9           baseos   
linux-firmware-whence.noarch                     20250513-152.el9           baseos   
llvm-libs.x86_64                                 20.1.1-3.el9               appstream
lockdev.x86_64                                   1.0.4-0.38.20111007git.el9 baseos   
netronome-firmware.noarch                        20250513-152.el9           baseos   
nvme-cli.x86_64                                  2.13-1.el9                 baseos   
openssl.x86_64                                   1:3.5.0-2.el9              baseos   
openssl-libs.x86_64                              1:3.5.0-2.el9              baseos   
passt.x86_64                                     0^20250415.g8ec1341-1.el9  appstream
passt-selinux.noarch                             0^20250415.g8ec1341-1.el9  appstream
perl-Git.noarch                                  2.47.1-2.el9               appstream
php.x86_64                                       8.0.30-3.el9               appstream
php-cli.x86_64                                   8.0.30-3.el9               appstream
php-common.x86_64                                8.0.30-3.el9               appstream
podman.x86_64                                    5:5.4.0-7.el9              appstream
policycoreutils.x86_64                           3.6-3.el9                  baseos   
policycoreutils-python-utils.noarch              3.6-3.el9                  appstream
python3-audit.x86_64                             3.1.5-7.el9                appstream
python3-dnf.noarch                               4.14.0-29.el9              baseos   
python3-dnf-plugins-core.noarch                  4.3.0-21.el9               baseos   
python3-hawkey.x86_64                            0.69.0-14.el9              baseos   
python3-libdnf.x86_64                            0.69.0-14.el9              baseos   
python3-perf.x86_64                              5.14.0-585.el9             appstream
python3-policycoreutils.noarch                   3.6-3.el9                  appstream
qemu-guest-agent.x86_64                          17:9.1.0-19.el9            appstream
rsyslog.x86_64                                   8.2412.0-2.el9             appstream
rsyslog-gnutls.x86_64                            8.2412.0-2.el9             appstream
rsyslog-gssapi.x86_64                            8.2412.0-2.el9             appstream
rsyslog-logrotate.x86_64                         8.2412.0-2.el9             appstream
rsyslog-relp.x86_64                              8.2412.0-2.el9             appstream
selinux-policy.noarch                            38.1.56-1.el9              baseos   
selinux-policy-targeted.noarch                   38.1.56-1.el9              baseos   
sos.noarch                                       4.9.1-1.el9                baseos   
sscg.x86_64                                      3.0.0-8.el9                appstream
sssd.x86_64                                      2.9.6-4.el9.2              baseos   
sssd-ad.x86_64                                   2.9.6-4.el9.2              baseos   
sssd-client.x86_64                               2.9.6-4.el9.2              baseos   
sssd-common.x86_64                               2.9.6-4.el9.2              baseos   
sssd-common-pac.x86_64                           2.9.6-4.el9.2              baseos   
sssd-ipa.x86_64                                  2.9.6-4.el9.2              baseos   
sssd-kcm.x86_64                                  2.9.6-4.el9.2              baseos   
sssd-krb5.x86_64                                 2.9.6-4.el9.2              baseos   
sssd-krb5-common.x86_64                          2.9.6-4.el9.2              baseos   
sssd-ldap.x86_64                                 2.9.6-4.el9.2              baseos   
sssd-nfs-idmap.x86_64                            2.9.6-4.el9.2              baseos   
sssd-proxy.x86_64                                2.9.6-4.el9.2              baseos   
sudo.x86_64                                      1.9.5p2-12.el9             baseos   
systemd.x86_64                                   252-53.el9                 baseos   
systemd-libs.x86_64                              252-53.el9                 baseos   
systemd-pam.x86_64                               252-53.el9                 baseos   
systemd-rpm-macros.noarch                        252-53.el9                 baseos   
systemd-udev.x86_64                              252-53.el9                 baseos   
tpm2-tools.x86_64                                5.2-6.el9                  baseos   
tzdata.noarch                                    2025b-1.el9                baseos   
vim-common.x86_64                                2:8.2.2637-22.el9          appstream
vim-enhanced.x86_64                              2:8.2.2637-22.el9          appstream
vim-filesystem.noarch                            2:8.2.2637-22.el9          baseos   
vim-minimal.x86_64                               2:8.2.2637-22.el9          baseos   
virt-what.x86_64                                 1.27-2.el9                 baseos   
webkit2gtk3.x86_64                               2.48.2-1.el9               appstream
webkit2gtk3-jsc.x86_64                           2.48.2-1.el9               appstream
xdg-utils.noarch                                 1.1.3-13.el9               appstream
xfsprogs.x86_64                                  6.4.0-7.el9                baseos   
xorg-x11-drv-libinput.x86_64                     1.0.1-4.el9                appstream
yelp.x86_64                                      2:40.3-3.el9               appstream
yelp-libs.x86_64                                 2:40.3-3.el9               appstream
yum.noarch                                       4.14.0-29.el9              baseos   
Obsoleting Packages
grub2-tools.x86_64                               1:2.06-104.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
grub2-tools.x86_64                               1:2.06-105.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
grub2-tools.x86_64                               1:2.06-107.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
grub2-tools-efi.x86_64                           1:2.06-104.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
grub2-tools-efi.x86_64                           1:2.06-105.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
grub2-tools-efi.x86_64                           1:2.06-107.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
grub2-tools-extra.x86_64                         1:2.06-104.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
grub2-tools-extra.x86_64                         1:2.06-105.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
grub2-tools-extra.x86_64                         1:2.06-107.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
grub2-tools-minimal.x86_64                       1:2.06-104.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
grub2-tools-minimal.x86_64                       1:2.06-105.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
grub2-tools-minimal.x86_64                       1:2.06-107.el9             baseos   
    grub2-tools.x86_64                           1:2.06-94.el9              @anaconda
